"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z"
44,2009,0.78,"adult","FALSE",18.989,"yes","weaned","yes",141,-9,"0","0",-1.241,-1.781,-0.028,1.779,1.614,1.099,-0.95,"5",1.323
44,2010,1.066,"adult","FALSE",19.986,"yes","weaned","yes",145,-6,"0","0",-0.958,-1.272,0.328,1.606,1.869,1.213,-0.95,"5",2.002
44,2011,1.351,"adult","FALSE",16.928,"yes","weaned","yes",164,18,"0","0",-0.675,-0.692,0.418,1.856,1.463,1.208,-0.787,"5",0.175
44,2012,1.637,"senescent","FALSE",13.352,NA,NA,NA,NA,NA,"0","1",0.669,-0.401,-0.028,1.456,0.524,0.778,0.517,"3",-0.733
45,2004,-0.649,"prim","TRUE",10.482,NA,NA,NA,NA,NA,"0","1",1.589,1.051,-0.028,-1.078,-0.592,0.101,1.224,"3",NA
46,2004,-0.935,"prim","TRUE",14.226,"yes","weaned","yes",148,6,"0","1",0.315,1.051,-0.028,-0.855,0.698,0.832,0.246,"2",NA
46,2005,-0.649,"adult","FALSE",17.354,"yes","weaned","yes",150,16,"0","0",-0.463,-0.474,-0.384,0.704,1.045,0.774,-0.135,"3",0.41
46,2006,-0.363,"adult","FALSE",15.449,"yes","weaned","yes",145,-7,"0","0",-0.321,-0.619,-1.097,1.045,1.412,1.339,0.409,"5",0.867
46,2007,-0.078,"adult","FALSE",14.625,"yes","weaned","yes",152,-8,"0","0",-0.675,-1.127,0.507,1.406,1.388,1.416,-0.841,"5",1.046
46,2008,0.208,"adult","FALSE",28.445,"yes","weaned","yes",140,-6,"0","0",-0.18,-0.692,1.219,1.383,1.957,0.279,-0.896,"5",0.326
46,2009,0.494,"adult","FALSE",22.97,"yes","weaned","yes",150,0,"0","0",-1.029,-1.781,-0.028,1.942,1.977,0.954,-0.787,"5",1.785
46,2010,0.78,"adult","FALSE",19.049,"yes","weaned","yes",139,-12,"0","0",-0.321,-1.272,0.328,1.962,1.832,1.291,-0.461,"5",2.267
46,2011,1.066,"adult","FALSE",19.537,"yes","weaned","yes",153,7,"0","0",-1.099,-0.692,0.418,1.82,1.829,1.23,-1.113,"3",NA
46,2012,1.351,"adult","FALSE",15.238,"yes","weaned","yes",150,4,"0","0",-0.109,-0.401,-0.028,1.816,1.476,1.423,-0.08,"3",1.038
46,2013,1.637,"senescent","FALSE",12.48,"no","noLamb",NA,NA,NA,"1","1",-0.321,0.47,-0.028,1.47,1.147,1.452,-0.243,"3",0.931
46,2015,2.209,"senescent","FALSE",8.528,NA,NA,NA,NA,NA,"0","1",2.155,-0.764,-0.829,1.456,1.905,2.62,2.148,"5",-0.789
47,2005,-0.649,"prim","TRUE",14.606,"yes","weaned","yes",NA,NA,"0","0",NA,-0.474,-0.384,-0.08,0.523,0.627,NA,"1",NA
47,2006,-0.363,"adult","FALSE",14.413,"yes","weaned","yes",163,11,"0","0",-0.604,-0.619,-1.097,0.533,0.927,1.019,0.191,"5",1.207
47,2007,-0.078,"adult","FALSE",10.132,"yes","weaned","yes",151,-9,"0","1",0.598,-1.127,0.507,0.929,0.535,1.174,0.137,"5",-1.274
